t_rxte,l_rxte,t_nicer,l_nicer,t_swiftpc,l_swiftpc,t_swiftwt,l_swiftwt
,,,,149.4603817332536,0.8717042918611132,,
,,,,,,156.59414839558303,0.547023643237771
,,,,,,163.26763535151258,0.876941352772057
,,,,,,170.13580947043374,0.8242494345978357
,,,,,,176.91316268360242,0.3566682488637713
,,,,,,177.77723810309544,1.0150794962703196
,,,,,,181.20393669465602,0.8983029656919218
,,,,,,184.33095844788477,0.7511453512784343
,,,,,,191.53559187613428,0.6804148308068836
,,,,,,193.99751757876902,0.9566912309811212
,,,,,,198.0476551805623,0.6780413245478835
,,,,,,205.5200083567761,0.6903835797302316
,,,,,,211.8936428804882,0.6215518416303413
,,,,,,219.31158561306074,0.4473362671820126
,,,,,,226.24192584259436,0.6324699817395183
,,,,,,233.25104680238292,0.7164921485792448
,,,,,,240.15909142466262,0.8332687923353548
,,,,,,249.37231926014647,0.7350055313527654
,,,,,,256.3367138626054,0.6030384588568196
,,,,,,262.4913458577362,0.5702840385292901
,,,,,,274.9265054934658,0.6215518416303413
,,,,,,282.300014520064,0.642438674074012
,,,,,,289.0512775885877,0.5944938250066496
,,,,,,296.4227998438291,0.4791412963237108
,,,,,,303.3465104256761,0.5626887958649477
,,,,,,310.30620691226795,0.5038258066884058
,,,,,,317.14983443543315,0.0062871505668988
,,,,,,324.06347583560273,0.4183794681866569
,,,,,,331.256041464861,0.6058866890031633
,,,,,,338.69803474331275,0.5916455948603052
,,,,,,344.9419455337338,0.2731207493225343
,,,,,,352.1538504245691,0.3946444055966449
,,,,,,359.03384960163385,0.3955937967824758
,,,,,,366.19549885066226,0.4112589494096533
,,,,,,373.70024274615616,0.4440133697371803
,,,,,,380.4068046375178,0.4558809010321873
,,,,,,387.7166536282748,0.4639508675838731
,,,,,,393.8228543605651,0.5175921203550714
,,,,,,400.84202344808773,0.3523959602331111
,,,,,,408.6134817204438,0.4112589494096533
,,,,,,415.628584719263,0.3675863889729483
,,,,,,422.49492294481024,0.4563556249195292
