t_rxte,l_rxte,t_swiftpc,l_swiftpc,t_swiftwt,l_swiftwt,t_nicer,l_nicer
,,3044.4603817332536,0.8717042918611132,,,,
,,,,3051.594148395583,0.547023643237771,,
,,,,3058.2676353515126,0.876941352772057,,
,,,,3065.1358094704337,0.8242494345978357,,
,,,,3071.9131626836024,0.3566682488637713,,
,,,,3072.7772381030954,1.0150794962703196,,
,,,,3076.2039366946556,0.8983029656919218,,
,,,,3079.3309584478848,0.7511453512784343,,
,,,,3086.5355918761343,0.6804148308068836,,
,,,,3088.9975175787695,0.9566912309811212,,
,,,,3093.0476551805623,0.6780413245478835,,
,,,,3100.520008356776,0.6903835797302316,,
,,,,3106.893642880488,0.6215518416303413,,
,,,,3114.3115856130607,0.4473362671820126,,
,,,,3121.2419258425944,0.6324699817395183,,
,,,,3128.251046802383,0.7164921485792448,,
,,,,3135.1590914246626,0.8332687923353548,,
,,,,3144.3723192601465,0.7350055313527654,,
,,,,3151.3367138626054,0.6030384588568196,,
,,,,3157.4913458577357,0.5702840385292901,,
,,,,3169.926505493466,0.6215518416303413,,
,,,,3177.300014520064,0.642438674074012,,
,,,,3184.0512775885873,0.5944938250066496,,
,,,,3191.422799843829,0.4791412963237108,,
,,,,3198.3465104256757,0.5626887958649477,,
,,,,3205.306206912268,0.5038258066884058,,
,,,,3212.149834435433,0.006287150566898826,,
,,,,3219.0634758356027,0.41837946818665694,,
,,,,3226.2560414648615,0.6058866890031633,,
,,,,3233.6980347433127,0.5916455948603052,,
,,,,3239.941945533734,0.27312074932253433,,
,,,,3247.153850424569,0.39464440559664493,,
,,,,3254.033849601634,0.3955937967824758,,
,,,,3261.1954988506623,0.41125894940965335,,
,,,,3268.7002427461557,0.4440133697371803,,
,,,,3275.406804637518,0.45588090103218737,,
,,,,3282.716653628275,0.46395086758387316,,
,,,,3288.8228543605655,0.5175921203550714,,
,,,,3295.8420234480873,0.35239596023311115,,
,,,,3303.613481720444,0.41125894940965335,,
,,,,3310.628584719263,0.3675863889729483,,
